2024-03-11 18:53:16.964 INFO  (qtp693267461-34-null-40) [c: s: r: x:geotaste t:null-40] o.a.s.c.S.Request webapp=/solr path=/replication params={wt=json&command=details&_=1710183196956} status=0 QTime=3
2024-03-11 18:53:16.966 INFO  (qtp693267461-73-null-41) [c: s: r: x:geotaste t:null-41] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={action=status&wt=json&_=1710183195209&ts=1710183195209} status=503 QTime=0
2024-03-11 18:53:16.968 INFO  (qtp693267461-29-null-42) [c: s: r: x:geotaste t:null-42] o.a.s.c.S.Request webapp=/solr path=/admin/system params={wt=json&_=1710183196956} status=0 QTime=2
2024-03-11 18:54:14.305 INFO  (qtp693267461-56-null-44) [c: s: r: x: t:null-44] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710183254280} status=0 QTime=0
2024-03-11 18:54:14.308 INFO  (qtp693267461-34-null-45) [c: s: r: x: t:null-45] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710183254280} status=0 QTime=2
2024-03-11 18:54:14.313 INFO  (qtp693267461-73-null-46) [c: s: r: x: t:null-46] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710183254280} status=0 QTime=2
2024-03-11 18:55:49.512 INFO  (qtp693267461-76-null-49) [c: s: r: x: t:null-49] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710183254280} status=0 QTime=0
2024-03-11 18:55:49.512 INFO  (qtp693267461-34-null-48) [c: s: r: x:geotaste t:null-48] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&show=index&wt=json&_=1710183349507} status=0 QTime=1
2024-03-11 18:55:49.518 INFO  (qtp693267461-72-null-51) [c: s: r: x:geotaste t:null-51] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={action=status&wt=json&_=1710183254280&ts=1710183254280} status=503 QTime=0
2024-03-11 18:55:49.529 INFO  (qtp693267461-31-null-52) [c: s: r: x:geotaste t:null-52] o.a.s.c.S.Request webapp=/solr path=/admin/system params={wt=json&_=1710183349507} status=0 QTime=11
2024-03-11 18:55:49.529 INFO  (qtp693267461-38-null-53) [c: s: r: x: t:null-53] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710183254280} status=0 QTime=11
2024-03-11 18:55:49.529 INFO  (qtp693267461-58-null-50) [c: s: r: x:geotaste t:null-50] o.a.s.c.S.Request webapp=/solr path=/replication params={wt=json&command=details&_=1710183349507} status=0 QTime=11
2024-03-11 18:57:23.092 INFO  (qtp693267461-34-null-56) [c: s: r: x: t:null-56] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710183443068} status=0 QTime=0
2024-03-11 18:57:23.094 INFO  (qtp693267461-54-null-55) [c: s: r: x: t:null-55] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710183443068} status=0 QTime=2
2024-03-11 18:57:23.099 INFO  (qtp693267461-31-null-57) [c: s: r: x: t:null-57] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710183443068} status=0 QTime=2
2024-03-11 18:57:30.458 INFO  (qtp693267461-31-null-59) [c: s: r: x: t:null-59] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710183450445} status=0 QTime=0
2024-03-11 18:57:30.460 INFO  (qtp693267461-73-null-60) [c: s: r: x: t:null-60] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710183450445} status=0 QTime=2
2024-03-11 18:57:30.465 INFO  (qtp693267461-34-null-61) [c: s: r: x: t:null-61] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710183450445} status=0 QTime=2
2024-03-11 19:02:07.996 INFO  (qtp693267461-33-null-66) [c: s: r: x: t:null-66] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710183727968} status=0 QTime=0
2024-03-11 19:02:08.003 INFO  (qtp693267461-77-null-67) [c: s: r: x: t:null-67] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710183727968} status=0 QTime=2
2024-03-11 19:02:08.007 INFO  (qtp693267461-33-null-68) [c: s: r: x: t:null-68] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710183727968} status=0 QTime=1
2024-03-11 19:02:13.331 INFO  (qtp693267461-77-null-70) [c: s: r: x: t:null-70] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710183727968} status=0 QTime=0
